id;amount;sender_id;receiver_id;status;date
1;15691.94;17168;11119;FAILED;2025-11-15T18:22:08
2;7716.66;19985;4790;SUCCESS;2025-11-15T15:10:33
3;28875.29;2258;24985;FAILED;2025-11-16T03:40:47
4;30170.37;5643;18577;SUCCESS;2025-11-16T13:11:08
5;19024.7;8958;32322;SUCCESS;2025-11-15T19:55:08
6;24727.63;4407;11280;FAILED;2025-11-15T19:13:34
7;30314.89;8035;19773;CANCELLED;2025-11-16T08:40:32
8;9011.96;4396;22447;PENDING;2025-11-15T23:55:48
9;11064.59;12715;25897;FAILED;2025-11-16T13:24:02
10;11302.92;3;4273;FAILED;2025-11-16T03:38:47
