id;tx_id;status;amount;fees;sender_phone;receiver_phone;initiated_at;completed_at;failed_at;error_message
1;as regarding mmm;FAILED;11285.75;14033.74;bossy hmph expert;robust into;2025-12-07T10:14:32;2025-12-07T06:27:46;2025-12-07T18:39:18;likewise svelte major
2;lighthearted aha;PENDING;2036.96;7255.56;splay;furthermore sunbeam dismal;2025-12-07T13:35:53;2025-12-06T20:44:27;2025-12-07T19:00:38;down before
3;um porter;PENDING;12730.98;1886.18;almost but;if snowplow;2025-12-07T05:56:04;2025-12-07T14:06:21;2025-12-06T22:49:54;tromp
4;sauerkraut drag;PENDING;26997.36;2822.3;whether manner eek;abaft yuck;2025-12-07T08:43:06;2025-12-06T20:35:00;2025-12-06T23:28:03;notwithstanding
5;chatter furthermore merrily;PENDING;9826.48;5868.17;since antagonize;quaver finer fair;2025-12-07T06:33:28;2025-12-06T21:47:37;2025-12-07T18:18:21;aha meh provider
6;matter;PENDING;7848.96;32322.75;curiously ape;mostly phooey lovingly;2025-12-07T00:14:04;2025-12-06T22:08:57;2025-12-07T00:58:44;whether
7;ouch pish afterwards;PENDING;13957.31;1288.28;jungle following;past heighten till;2025-12-07T00:04:39;2025-12-06T21:12:14;2025-12-07T17:14:27;surge
8;zowie;COMPLETED;18636.18;30979.04;delightfully eek common;boo;2025-12-07T14:22:48;2025-12-06T20:38:09;2025-12-07T02:56:13;yuck key gadzooks
9;ew gadzooks;FAILED;23793.1;11124.16;abaft or;boohoo ew;2025-12-07T17:48:00;2025-12-07T17:24:39;2025-12-07T13:43:07;amid nor brr
10;now gracefully;COMPLETED;20325.97;13973.71;reach victoriously;quarrelsome;2025-12-06T21:39:38;2025-12-07T03:25:17;2025-12-07T01:43:58;versus voluntarily quirkily
